Setup,Idx,Filesystem,WiFi,eMMC,Total,Batt
NonPCO,30,29.366,84.484,14.270,43.953,119.716
NonPCO,31,115.626,95.565,0.000,0.000,120.002
NonPCO,32,39.437,93.116,14.209,53.961,117.819
NonPCO,33,63.172,108.586,14.222,77.685,133.288
NonPCO,34,102.722,90.010,12.629,119.883,119.883
NonPCO,35,84.254,100.118,11.833,96.403,112.267
NonPCO,36,86.623,0.000,0.000,0.000,103.723
NonPCO,37,73.238,93.249,14.277,87.812,107.867
NonPCO,38,102.036,86.413,0.000,0.000,115.250
NonPCO,39,98.524,94.311,11.115,113.931,124.127
NonPCO,40,74.385,91.691,11.137,85.848,113.334
PCO,1,68.092,84.668,9.678,78.096,136.162
PCO,2,62.104,79.100,10.363,72.753,162.556
PCO,3,71.944,66.703,9.993,86.100,158.994
PCO,4,79.416,72.991,9.768,93.705,145.805
PCO,5,65.254,74.766,10.241,75.837,137.388
PCO,6,28.723,77.451,12.324,41.395,163.268
PCO,7,56.464,82.158,12.097,69.018,136.300
PCO,8,86.300,83.768,10.174,100.820,142.335
PCO,9,62.010,82.134,12.313,74.614,136.270
PCO,10,64.544,72.577,10.715,75.518,156.566
PCO,11,66.773,66.137,9.728,78.585,141.013
PCO,12,78.508,82.475,10.734,89.294,155.686
PCO,13,68.196,97.547,12.131,80.648,141.128
PCO,14,66.905,70.866,10.271,77.229,164.678
PCO,15,87.519,74.952,10.902,103.120,176.366
PCO,16,66.343,104.341,13.471,80.126,149.392
PCO,17,74.046,133.128,0.000,0.000,133.443
PCO,18,69.937,127.373,0.000,0.000,139.678
PCO,19,69.085,94.647,12.374,81.772,138.490
PCO,20,102.750,75.598,11.013,118.260,159.983
PCO,21,69.724,93.573,12.211,82.265,137.138
PCO,22,68.250,55.736,10.689,83.201,135.254
PCO,23,100.253,96.788,11.088,115.779,157.574
PCO,24,60.213,79.454,12.188,72.732,164.865
PCO,25,71.690,83.773,10.988,83.024,168.569
PCO,26,61.039,93.075,13.356,74.902,169.806
PCO,27,86.012,65.432,10.692,101.027,142.530
PCO,28,94.537,66.907,10.867,109.671,140.788
PCO,29,65.285,69.260,10.346,75.724,131.823
PCO,30,84.213,66.944,10.923,99.839,152.133
PCO,31,107.776,94.718,11.858,124.359,166.187
PCO,32,98.025,79.082,11.302,113.880,145.194
PCO,33,68.288,78.848,10.879,79.478,152.956
PCO,34,76.344,89.159,11.937,88.591,143.026
PCO,35,46.680,94.865,14.296,61.297,150.939
PCO,36,94.092,116.235,23.833,118.232,161.133
PCO,37,76.351,96.911,14.235,90.899,121.650
PCO,38,81.812,89.853,18.274,100.375,139.428
PCO,39,74.648,98.782,14.238,89.186,133.983
PCO,40,86.472,0.000,0.000,0.000,141.773
